"filename", "language", "YAML", "Batch", "JSON", "XML", "JavaScript", "Dockerfile", "Markdown", "HTML", "Vue.js", "Properties", "Java", "comment", "blank", "total"
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\Status.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 6, 26
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\StatusController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 7, 40
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\StatusRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\StatusService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 5, 13
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\StatusServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 7, 33
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\Task.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 18, 88
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\TaskController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 9, 57
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\TaskRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\TaskService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 7, 15
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\TaskServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 9, 34
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\Observer.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 26, 128
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 2, 31, 152
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\UserServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 10, 63
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\resources\application.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 10, 6, 28
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\CategoryServiceImplTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 12, 48
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\CommentServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 12, 50
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\DefectServiceImplTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14, 10, 47
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\LocationServiceImplTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 13, 49
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\PriorityServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 10, 45
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\ProjectteambisfitsApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 14
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\RoleServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 12, 48
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\StatusServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 14, 57
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\TestConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\UserServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 7, 16, 73
"d:\ProjectBisfitsFinal\bisfits\docker-compose.yml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\ProjectBisfitsFinal\bisfits\frontend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\ProjectBisfitsFinal\bisfits\frontend\Dockerfile", "Dockerfile", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 8, 23
"d:\ProjectBisfitsFinal\bisfits\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 9, 40
"d:\ProjectBisfitsFinal\bisfits\frontend\babel.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\ProjectBisfitsFinal\bisfits\frontend\package-lock.json", "JSON", 0, 0, 14624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14625
"d:\ProjectBisfitsFinal\bisfits\frontend\package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
